[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,A0-8M-16H-20H-5M-MVST-ZFC
FILEOPENTIME,5778780.91,04/01/2025,12:41 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A0-8M-16H-20H-5M,SAMPLE_MATERIAL
INFO,A0-8M-16H-20H-5M,SAMPLE_COMMENT
INFO,21.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,5779297.555,40.1880989,199.91,9.97915053643001E-5,2.16582699904422E-7,1,0.999253354069792,40.0298881530762,1.99972549896948,6.44000014290214,0.00105783820589693,0.000204459024189698,0.25,1.1165151629642E-6,9.9557933823896E-5,1.80329216111923E-6,40.1880989,40.1880989,199.91,199.91,53.7697890949288,19.0141174889368,25.144545,0,0,0,40,4886,41.6953,199.91,,,,,,,,,,,,,0,,,,14.5686498,,,,,,40.1880989,,,,
,5779347.28,44.1729546,199.91,,,2,,,,6.45999998822808,,,,,,,44.1729546,44.1729546,199.91,199.91,,,24.774065,,,,-99999999,4886,45.9717,199.91,,,,,,,,,,,,,,,,,,,,,,,44.1729546,,,,
touchdown = 0.609999988228083 mm,5779362.25,45.41602705,199.91,9.99486624742106E-5,4.68996857385075E-7,1,0.999253354069792,40.0298881530762,1.99954269302254,6.45000021904707,0.00106135547653765,0.000203895467258053,0.25,9.60707711424405E-7,9.98779082601013E-5,1.6962354473049E-6,45.3740158,45.4580383,199.91,199.91,53.2210858744287,19.0281532129528,25.515081,0,0,0,40,4886,47.28105,199.91,,,,,,,,,,,,,0,,,,15.0868568,,,,,,45.41602705,,,,
,5779421.455,50.15769575,199.91,9.97779424964261E-5,2.5252223986769E-7,1,0.999253354069792,40.0298881530762,1.99990414805969,6.45000021904707,0.00106153656510957,0.000203190174955262,0.25,8.86868135497016E-7,9.98659697018693E-5,1.62885904732959E-6,50.1106758,50.2047157,199.91,199.91,53.269546842621,19.0004732789795,25.144545,0,0,0,40,4886,52.3465,199.91,,,,,,,,,,,,,0,,,,15.4685831,,,,,,50.15769575,,,,
,5779490.73,55.7164345,199.91,,,2,,,,6.45000002849847,,,,,,,55.7164345,55.7164345,199.91,199.91,,,25.144545,,,,-99999999,4886,58.3228,199.91,,,,,,,,,,,,,,,,,,,,,,,55.7164345,,,,
touchdown = 0.600000028498471 mm,5779505.24,56.8271217,199.91,9.98498758157994E-5,4.76512533121099E-7,1,0.999253354069792,40.0298881530762,1.99992654447431,6.44000014290214,0.00106430304874194,0.000204625377818742,0.25,1.01746926936695E-6,0.000100139553815879,1.71553318463751E-6,56.8271217,56.8271217,199.91,199.91,53.5736003366018,19.0128749986389,25.515081,0,0,0,40,4886,59.5591,199.91,,,,,,,,,,,,,0,,,,16.0196004,,,,,,56.8271217,,,,
,5779545.025,60.0416641,199.91,9.99046792932239E-5,2.47820798804912E-7,1,0.999253354069792,40.0298881530762,2.00011432958317,6.45000021904707,0.00106671044984355,0.000199976376068706,0.25,5.93685909362112E-7,0.000100275854781883,1.2539479449284E-6,60.0416641,60.0416641,199.91,199.91,53.7010057852365,19.0057806063794,25.144545,0,0,0,40,4886,63.0311,199.91,,,,,,,,,,,,,0,,,,16.1796284,,,,,,60.0416641,,,,
,5779608.49,65.0165024,199.91,0.000100229865989782,4.95257561034477E-7,1,0.999253354069792,40.0298881530762,2.00008519574238,6.44000014290214,0.00107146152785609,0.000199325645523322,0.25,5.22902983449928E-7,0.000100699385820701,1.11923956926258E-6,65.0165024,65.0165024,199.91,199.91,54.0253816207173,19.00248695909,25.144545,0,0,0,40,4886,68.5109,199.91,,,,,,,,,,,,,0,,,,16.6718655,,,,,,65.0165024,,,,
,5779632.97,67.0516739,199.91,,,2,,,,6.45000002849847,,,,,,,67.0516739,67.0516739,199.91,199.91,,,25.144545,,,,-99999999,4886,70.6268,199.91,,,,,,,,,,,,,,,,,,,,,,,67.0516739,,,,
,5779670.26,70.00577165,199.91,0.000100206659675447,2.73370962111056E-7,1,0.999253354069792,40.0298881530762,1.99986676785816,6.44000014290214,0.00107160087389122,0.000200498396575608,0.25,6.90737148491209E-7,0.000100741196952291,1.22390526517694E-6,69.9544525,70.0570908,199.91,199.91,54.2637783190827,19.0075372661358,25.144545,0,0,0,40,4886,73.874,199.91,,,,,,,,,,,,,0,,,,16.92378995,,,,,,70.00577165,,,,
